"LicenseNumber","Address","agencyId","AgencyName","AgencyType","City","County","LicenseEffectiveDate","LicenseeGroupOrganizationName","LicenseExpirationDate","LicenseStatus","Phone","ZipCode"
"CB370201248","107 E ILLINOIS ST, MOUNT PLEASANT, Isabella, MI 48858-2503, UNITED STATES","a0i8z0000006hBuAAI","LISTENING EAR CRISIS CENTER","Child Placing Agency: Private","Mount Pleasant","Isabella","2025-03-20","Crisis Center Inc - DBA Listening Ear","2027-03-19","Regular","9897722919","48858-2503"
"CB380201116","330 W MICHIGAN AVE, JACKSON, Jackson, MI 49201-2121, UNITED STATES","a0i8z0000006eOTAAY","FAMILY SERVICE & CHILDREN'S AID - JACKSON COUNTY","Child Placing Agency: Private","Jackson","Jackson","2025-06-30","Family Services & Children's Aid - Jackson County","2027-06-29","Regular","5177872738","49201-2121"
"CB380201255","729 W MICHIGAN AVE, JACKSON, Jackson, MI 49201-1920, UNITED STATES","a0i8z0000006WggAAE","SAMARITAS - MID MI","Child Placing Agency: Private","Jackson","Jackson","2024-07-03","Samaritas","2026-07-02","Regular","5177896444","49201-1920"
"CB380356643","1401 W MICHIGAN AVE, JACKSON, Jackson, MI 49202-4022, UNITED STATES","a0i8z0000006hQxAAI","Open Door Family Services DBA","Child Placing Agency: Private","Jackson","Jackson","2025-11-03","Open Door Adoption Services","2027-11-02","Regular","5179367580","49202-4022"
"CB381002610","406 S Blackstone St, Jackson, Jackson, MI 49201-2206, UNITED STATES","a0i8z000001BI1uAAG","My Place, Inc.","Child Placing Agency: Private","Jackson","Jackson","2025-07-11","My Place, Inc.","2026-01-06","Original","5172505056","49201-2206"
"CB390201118","1608 LAKE ST, KALAMAZOO, Kalamazoo, MI 49001-3170, UNITED STATES","a0i8z0000006amoAAA","FAMILY & CHILDREN SERVICES INC.","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-12-12","Family & Children Services","2026-12-11","Regular","2693440202","49001-3170"
"CB390258392","4341 S WESTNEDGE AVE STE 2000, Suite 2000, KALAMAZOO, Kalamazoo, MI 49008-3284, UNITED STATES","a0i8z0000006kVhAAI","SAMARITAS - SOUTHWEST","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-05-15","Samaritas","2026-05-14","Regular","2693455776","49008-3284"
"CB390267474","6687 SEECO DR, KALAMAZOO, Kalamazoo, MI 49009-5970, UNITED STATES","a0i8z0000006hQvAAI","Bethany Christian Services-Southwest MI","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-12-01","Bethany Christian Services Inc","2026-11-30","Regular","2693728800","49009-5970"
"CB391001684","1441 S Westnedge Ave, Kalamazoo, Kalamazoo, MICHIGAN 49008-1370, UNITED STATES","a0i8z000000ffq1AAA","Catholic Charities Diocese of Kalamazoo","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2025-01-15","Catholic Family Services","2027-01-14","Regular","2693819800","49008-1370"
"CB391001721","1126 Gull Rd, Kalamazoo, Kalamazoo, MI 49048-1726, UNITED STATES","a0i8z000000h9CYAAY","Heart for Home","Child Placing Agency: Private","Kalamazoo","Kalamazoo","2024-11-10","Heart for Home","2026-11-09","Regular","2699037500","49048-1726"
"CB410200974","901 Eastern Ave NE, Building A, Grand Rapids, Kent, MI 49503-1201, UNITED STATES","a0i8z0000006aycAAA","BETHANY CHRISTIAN SERVICES - REFUGEE PROGRAM","Child Placing Agency: Private","Grand Rapids","Kent","2024-10-19","Bethany Christian Services Inc","2026-10-18","Regular","6162247540","49503-1201"
"CB410200976","901 EASTERN AVE, GRAND RAPIDS, Kent, MI 49503-1201, UNITED STATES","a0i8z0000006b4pAAA","BETHANY CHRISTIAN SERVICES INC-GRAND RAPIDS","Child Placing Agency: Private","Grand Rapids","Kent","2024-09-28","Bethany Christian Services Inc","2026-09-27","Regular","6164596273","49503-1201"
"CB410201088","2172 Dean Lake Ave NE, Grand Rapids, Kent, MI 49505-4444, UNITED STATES","a0i8z0000006UtqAAE","DA BLODGETT FOR CHILDREN","Child Placing Agency: Private","Grand Rapids","Kent","2024-06-06","DA Blodgett for Children","2026-06-05","Regular","6164512021","49505-4444"
"CB410201176","1115 BALL AVE NE, GRAND RAPIDS, Kent, MI 49505-5904, UNITED STATES","a0i8z0000006kKuAAI","ARBOR CIRCLE - HOMELESS YOUTH SERVICES","Child Placing Agency: Private","Grand Rapids","Kent","2025-07-05","Arbor Circle Corporation","2027-07-04","Regular","6164513001","49505-5904"
"CB410201260","1715 SUTHERLAND DR, KENTWOOD, Kent, MI 49508-3306, UNITED STATES","a0i8z0000006ZgZAAU","WELLSPRING LUTHERAN SERVICES KENTWOOD","Child Placing Agency: Private","Kentwood","Kent","2024-06-29","Wellspring Lutheran Services","2026-06-28","Regular","6162814601","49508-3306"
"CB410201266","2080 UNION AVE SE STE A, Suite A, GRAND RAPIDS, Kent, MI 49507-3247, UNITED STATES","a0i8z0000006V7wAAE","SAMARITAS -  WEST","Child Placing Agency: Private","GRAND RAPIDS","Kent","2024-09-23","Samaritas","2026-09-22","Regular","6163561934","49507-3247"
"CB410245705","40 JEFFERSON AVE, GRAND RAPIDS, Kent, MI 49503-4304, UNITED STATES","a0i8z0000006TcoAAE","CATHOLIC CHARITIES WEST MICHIGAN - GR","Child Placing Agency: Private","Grand Rapids","Kent","2025-01-20","Catholic Charities West Michigan","2027-01-19","Regular","6164561443","49503-4304"
"CB410252631","2453 28TH ST NW, WYOMING, Kent, MI 49519-2103, UNITED STATES","a0i8z0000006VC8AAM","GREATER HOPES FAMILY SERVICES,INC.","Child Placing Agency: Private","WYOMING","Kent","2025-05-06","Greater Hopes Inc","2027-05-05","Regular","6164510245","49519-2103"
"CB410284045","354 NORWOOD AVE SE, GRAND RAPIDS, Kent, MI 49506-1717, UNITED STATES","a0i8z0000006TXaAAM","FAMILIES THROUGH ADOPTION","Child Placing Agency: Private","Grand Rapids","Kent","2025-01-12","Families Through Adoption Inc.","2027-01-11","Regular","6164545170","49506-1717"
"CB410381414","PO BOX 232, DORR, Allegan, MI 49323-0232, UNITED STATES","a0i8z0000006kD8AAI","WEST MI PARTNERSHIP FOR CHILDREN","Child Placing Agency: Private","Dorr","Allegan","2024-05-13","West Michigan Partnership for Children","2026-05-12","Regular","6165529811","49323-0232"
"CB440295542","2031 S Elms Rd, Building B, Swartz Creek, Genesee, MI 48473-9728, UNITED STATES","a0i8z0000006dduAAA","ADOPTION AND FOSTER CARE SPECIALISTS, INC.","Child Placing Agency: Private","Swartz Creek","Genesee","2024-11-25","Adoption and Foster Care Specialists, Inc.","2026-11-24","Regular","8106141400","48473-9728"
"CB460308844","425 Ormsby St, Adrian, Lenawee, MI 49221-2341, UNITED STATES","a0i8z0000006alGAAQ","CATHOLIC CHARITIES OF JACKSON, LENAWEE & HILLSDALE","Child Placing Agency: Private","Adrian","Lenawee","2024-12-20","Catholic Charities of Jacksn, Lenw, & Hillsd","2026-12-19","Regular","5172953334","49221-2341"
"CB460360419","131 S WINTER ST, ADRIAN, Lenawee, MI 49221-2602, UNITED STATES","a0i8z0000006aydAAA","FOSTERING SOLUTIONS","Child Placing Agency: Private","Adrian","Lenawee","2024-12-13","Fostering Solutions","2026-12-12","Regular","5172630020","49221-2602"
"CB470366531","7996 GRAND RIVER RD, BRIGHTON, Livingston, MI 48114-9304, UNITED STATES","a0i8z0000006arTAAQ","GROWING HOPE THROUGH LOVE","Child Placing Agency: Private","Brighton","Livingston","2025-09-09","Growing Hope Through Love","2027-09-08","Regular","5177984020","48114-9304"
"CB470382419","3075 E GRAND RIVER AVE, HOWELL, Livingston, MI 48843-6584, UNITED STATES","a0i8z0000006YvQAAU","FAMILY AND COMMUNITY SERVICES-LIVINGSTON","Child Placing Agency: Private","Howell","Livingston","2025-05-15","Family & Community Services Inc","2027-05-14","Regular","5176151275","48843-6584"
"CB500316267","42140 VAN DYKE AVE, STERLING HEIGHTS, Macomb, MI 48314-3677, UNITED STATES","a0i8z0000006kbLAAQ","FAMILY AND COMMUNITY SERVICES-MACOMB","Child Placing Agency: Private","Sterling Heights","Macomb","2025-05-08","Family & Community Services Inc","2027-05-07","Regular","5867262988","48314-3677"
"CB501003033","49676 Cranbrook Drive, Macomb, Macomb, MI 48044-1565, UNITED STATES","a0ics000002zFPBAA2","Genesis Youth Services, Inc","Child Placing Agency: Private","Macomb","Macomb","2025-11-18","Genesis Youth Services, Inc","2027-11-17","Regular","3138001159","48042-4111"
"CB520201043","706 CHIPPEWA SQ, MARQUETTE, Marquette, MI 49855-4834, UNITED STATES","a0i8z0000006hDSAAY","CHILD & FAMILY SERVICES OF THE UPPER PENINSUL","Child Placing Agency: Private","Marquette","Marquette","2024-04-15","Child & Family Service of U P","2026-04-14","Regular","9062284025","49855-4834"
"CB520304693","369 US HIGHWAY 41 E, NEGAUNEE, Marquette, MI 49866-9624, UNITED STATES","a0i8z0000006UsTAAU","UPPER PENINSULA FAMILY SOLUTIONS","Child Placing Agency: Private","Negaunee","Marquette","2024-05-19","Upper Peninsula Family Solutions","2026-05-18","Regular","9062731095","49866-9624"
"CB530246146","920 E TINKHAM AVE, LUDINGTON, Mason, MI 49431-1538, UNITED STATES","a0i8z0000006gr8AAA","STAIRCASE YOUTH SERVICES","Child Placing Agency: Private","Ludington","Mason","2024-09-02","Staircase Youth Services, Inc","2026-09-01","Regular","2318433200","49431-1538"
"CB540201289","126 MAPLE ST STE F, Suite F, BIG RAPIDS, Mecosta, MI 49307-1878, UNITED STATES","a0i8z0000006eIZAAY","Mecosta/Osceola Youth Attention Center","Child Placing Agency: Private","Big Rapids","Mecosta","2024-06-09","Mecosta/0sceola Youth Atten Center","2026-06-08","Regular","2315920129","49307-1878"
"CB560263403","601 E Wackerly St, Midland, Midland, MI 48642-7070, UNITED STATES","a0i8z0000006TNpAAM","ADOPTION OPTION, INC.","Child Placing Agency: Private","Midland","Midland","2024-10-22","Adoption Option, Inc.","2026-10-21","Regular","9898390534","48642-7070"
"CB610200977","175 W APPLE AVE, MUSKEGON, Muskegon, MI 49440-1379, UNITED STATES","a0i8z0000006WdlAAE","Bethany Christian Services-Muskegon","Child Placing Agency: Private","Muskegon","Muskegon","2025-01-27","Bethany Christian Services Inc","2027-01-26","Regular","2319243390","49440-1379"
"CB610201023","1720 PARK ST, MUSKEGON, Muskegon, MI 49441-2403, UNITED STATES","a0i8z0000006agWAAQ","CATHOLIC CHARITIES WEST MICHIGAN - MUSKEGON","Child Placing Agency: Private","Muskegon","Muskegon","2025-07-31","Catholic Charities West Michigan","2027-07-30","Regular","2317264735","49441-2403"
"CB611003227","221 W Webster Ave, Suite 509, Muskegon, Muskegon, MI 49440-1294, UNITED STATES","a0ics000004PrObAAK","Rooted in Community","Child Placing Agency: Private","Muskegon","Muskegon","2025-12-01","Rooted in Community","2027-11-30","Regular","6168880879","49440-1294"
"CB630200978","18000 W 9 MILE RD STE 950, Suite 950, SOUTHFIELD, Oakland, MI 48075-4017, UNITED STATES","a0i8z0000006WYHAA2","BETHANY CHRISTIAN SERVICES - Southfield","Child Placing Agency: Private","Southfield","Oakland","2025-12-08","Bethany Christian Services Inc","2027-12-07","Regular","2484144080","48075-4017"
"CB630201261","30600 Telegraph Rd, Suite 4290, Bingham Farms, Oakland, MI 48025-4550, UNITED STATES","a0i8z0000006V9JAAU","WELLSPRING LUTHERAN SERVICES BINGHAM FARMS","Child Placing Agency: Private","Bingham Farms","Oakland","2025-05-09","Wellspring Lutheran Services","2027-05-08","Regular","2489680100","48025-4550"
"CB630201335","114 ORCHARD LAKE RD, PONTIAC, Oakland, MI 48341-2244, UNITED STATES","a0i8z0000006kaGAAQ","OAKLAND FAMILY SERVICES","Child Placing Agency: Private","Pontiac","Oakland","2024-07-06","Oakland Family Services","2026-07-05","Regular","2488587766","48341-2244"
"CB630201342","24901 NORTHWESTERN HWY STE 500, Suite 500, SOUTHFIELD, Oakland, MI 48075-2212, UNITED STATES","a0i8z0000006Z3BAAU","ORCHARDS CHILDRENS SERVICES","Child Placing Agency: Private","Southfield","Oakland","2025-02-06","Orchards Children's Services Inc","2027-02-05","Regular","2485932100","48075-2212"
"CB630201414","16250 NORTHLAND DR STE 120, Suite 120, SOUTHFIELD, Oakland, MI 48075-5226, UNITED STATES","a0i8z0000006eJpAAI","SPAULDING FOR CHILDREN","Child Placing Agency: Private","Southfield","Oakland","2025-10-02","Spaulding for Children","2027-10-01","Regular","2484437080","48075-5226"
"CB630201417","16250 NORTHLAND DR, SOUTHFIELD, Oakland, MI 48075-5205, UNITED STATES","a0i8z0000006ZexAAE","SPECTRUM HUMAN SERVICES","Child Placing Agency: Private","Southfield","Oakland","2025-07-08","Spectrum Child & Family Services","2027-07-07","Regular","2485528020","48075-5205"
"CB630201423","24445 NORTHWESTERN HWY STE 200, Suite 200, SOUTHFIELD, Oakland, MI 48075-2437, UNITED STATES","a0i8z0000006e0VAAQ","CATHOLIC CHARITIES OF SOUTHEAST MICHIGAN","Child Placing Agency: Private","Southfield","Oakland","2025-03-29","Catholic Charities of Southeast Michigan","2027-03-28","Regular","2485520750","48075-2437"
"CB630246843","15635 W 12 MILE RD, SOUTHFIELD, Oakland, MI 48076-3048, UNITED STATES","a0i8z0000006eCQAAY","MORNING STAR ADOPTION CENTER","Child Placing Agency: Private","Southfield","Oakland","2024-06-09","Morning Star Adoption Resource Inc.","2026-06-08","Regular","2484835484","48076-3048"
"CB630315340","91 S TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1580, UNITED STATES","a0i8z0000006b4sAAA","ENNIS CENTER FOR CHILDREN - PONTIAC","Child Placing Agency: Private","Pontiac","Oakland","2024-06-29","Ennis Center for Children Inc","2026-06-28","Regular","2483342715","48341-1580"
"CB630369213","4410 W 13 MILE RD, ROYAL OAK, Oakland, MI 48073-6515, UNITED STATES","a0i8z0000006TQgAAM","CHILD SAFE  MICHIGAN JUDSON CS","Child Placing Agency: Private","Royal Oak","Oakland","2025-06-18","Judson CS","2027-06-17","Regular","2483530921","48073-6515"
"CB631002106","418 N Main St, Suite 250, Royal Oak, Oakland, MI 48067-1813, UNITED STATES","a0i8z000000zq28AAA","Lifeline Children's Services INC","Child Placing Agency: Private","Royal Oak","Oakland","2025-02-04","Lifeline Children's Services INC","2027-02-03","Regular","2059404624","48067-1813"
"CB670201101","4507 170TH AVE, HERSEY, Osceola, MI 49639-8785, UNITED STATES","a0i8z0000006ZKPAA2","EAGLE VILLAGE, INC.","Child Placing Agency: Private","Hersey","Osceola","2025-03-31","Eagle Village Inc","2027-03-30","Regular","2318322234","49639-8785"
"CB690358779","1260 S OTSEGO AVE, GAYLORD, Otsego, MI 49735-9587, UNITED STATES","a0i8z0000006WZjAAM","WELLSPRING LUTHERAN SERVICES GAYLORD","Child Placing Agency: Private","Gaylord","Otsego","2025-01-16","Wellspring Lutheran Services","2027-01-15","Regular","9897321040","49735-9587"
"CB700200923","1338 BALDWIN ST, JENISON, Ottawa, MI 49428-8937, UNITED STATES","a0i8z0000006assAAA","ADOPTION ASSOCIATES, INC","Child Placing Agency: Private","Jenison","Ottawa","2025-09-16","Adoption Associates Inc","2027-09-15","Regular","6166670677","49428-8937"
"CB700200981","11335 JAMES ST, HOLLAND, Ottawa, MI 49424-8627, UNITED STATES","a0i8z0000006WOPAA2","BETHANY CHRISTIAN SERVICES INC-HOLLAND","Child Placing Agency: Private","Holland","Ottawa","2024-08-01","Bethany Christian Services Inc","2026-07-31","Regular","6163960623","49424-8627"
"CB700201042","412 CENTURY LN, HOLLAND, Ottawa, MI 49423-4285, UNITED STATES","a0i8z0000006grAAAQ","PATHWAYS OF ARBOR CIRCLE","Child Placing Agency: Private","Holland","Ottawa","2024-07-19","Arbor Circle Corporation","2026-07-18","Regular","6163962301","49423-4285"
"CB730200994","1030 N RIVER RD, SAGINAW, Saginaw, MI 48609-6832, UNITED STATES","a0i8z0000006hDPAAY","Holy Cross Children's Services -Mid-Michigan","Child Placing Agency: Private","Saginaw","Saginaw","2024-05-01","Holy Cross Children's Services","2026-04-30","Regular","9897992503","48609-6832"
"CB730201194","1110 HOWARD ST, SAGINAW, Saginaw, MI 48601-2734, UNITED STATES","a0i8z0000006WYFAA2","Innerlink Transitional Living Program","Child Placing Agency: Private","Saginaw","Saginaw","2025-02-24","Saginaw Co Youth Prot Council","2027-02-23","Regular","9897533431","48601-2734"
"CB730236853","4371 STATE ST, SAGINAW, Saginaw, MI 48603-4029, UNITED STATES","a0i8z0000006hPPAAY","Adoption Partners of Michigan","Child Placing Agency: Private","Saginaw","Saginaw","2025-09-10","Swartz Christopher","2027-09-09","Regular","9897937000","48603-4029"
"CB730410102","3095 CABARET TRL S, SAGINAW, Saginaw, MI 48603-2284, UNITED STATES","a0i8z0000006e0WAAQ","ENNIS CENTER FOR CHILDREN - SAGINAW","Child Placing Agency: Private","Saginaw","Saginaw","2024-06-09","Ennis Center for Children Inc","2026-06-08","Regular","9895580020","48603-2284"
"CB740315326","222 HURON AVE, PORT HURON, Saint Clair, MI 48060-3822, UNITED STATES","a0i8z0000006hKqAAI","ENNIS CENTER FOR CHILDREN - PORT HURON","Child Placing Agency: Private","Port Huron","Saint Clair","2024-04-06","Ennis Center for Children Inc","2026-04-05","Regular","8109901424","48060-3822"
"CB790290893","5397 MILLINGTON RD, MILLINGTON, Tuscola, MI 48746-8701, UNITED STATES","a0i8z0000006ZXdAAM","NEW LIGHT CHILD & FAMILY INSTITUTE","Child Placing Agency: Private","Millington","Tuscola","2025-11-24","New Light Child & Family Institute","2027-11-23","Regular","9898716695","48746-8701"
"CB810201018","4925 PACKARD ST, ANN ARBOR, Washtenaw, MI 48108-1521, UNITED STATES","a0i8z0000006ZKRAA2","Catholic Charities Washtenaw County","Child Placing Agency: Private","Ann Arbor","Washtenaw","2024-02-08","Catholic Social Services of Washtenaw","2026-02-06","Regular","3139719781","48108-1521"
"CB810201161","781 AVIS DR STE 200, Suite 200, ANN ARBOR, Washtenaw, MI 48108-8959, UNITED STATES","a0i8z0000006gpVAAQ","HANDS ACROSS THE WATER","Child Placing Agency: Private","Ann Arbor","Washtenaw","2025-08-11","Hands Across The Water, Inc.","2027-08-10","Regular","7344770135","48108-8959"
"CB810302599","2008 HOGBACK RD STE 6, Suite 6, ANN ARBOR, Washtenaw, MI 48105-9751, UNITED STATES","a0i8z0000006UzQAAU","FOSTERING FUTURES","Child Placing Agency: Private","Ann Arbor","Washtenaw","2025-08-11","Fostering Futures","2027-08-10","Regular","7344174287","48105-9751"
"CB810406448","111 S WALLACE BLVD, YPSILANTI, Washtenaw, MI 48197-4644, UNITED STATES","a0i8z0000006eIXAAY","Our House- Mosaic","Child Placing Agency: Private","Ypsilanti","Washtenaw","2024-01-26","Our House","2026-01-24","Regular","7345475519","48197-4644"
"CB820201055","79 W ALEXANDRINE ST, DETROIT, Wayne, MI 48201-2015, UNITED STATES","a0i8z0000006hQwAAI","CHILDREN'S CENTER WAYNE CO","Child Placing Agency: Private","Detroit","Wayne","2025-04-25","Childrens Center Wayne County","2027-04-24","Regular","3138315520","48201-2015"
