agency_id,date,agency_name,document_title,is_special_investigation,sha256,date_processed
CB220201016,"April 9 - 12, 2024.",CATHOLIC SOCIAL SERVICES OF THE,Inspection Report,False,a86a7980037063fe56b6d124d22f0be53135bfb50ad7f81a4a6883ac9747c201,2025-11-03T13:35:34.696492
CB220201016,"May 6, 2025",CATHOLIC SOCIAL SERVICES OF THE,Renewal Inspection Report,False,07fd137cfa2162e90f4c5a81e4bb2b8fb09b0d5de9297b2072e13c627de4fede,2025-11-03T13:35:35.213552
CB250201015,11/22-24 - 29-30 & 12/1/2021,Catholic Charities of Shiawassee and,Inspection Report,False,2a9e032cdb7bff747d94d8e7dd36436895866828aac0d68ead57e0684a522c0e,2025-11-03T13:35:35.919522
CB250201015,"September 28-October 5, 2020",Catholic Charities of Shiawassee and,Renewal Inspection Report,False,400e3d55a3d5546d055d129e088bc5cc2d09624baf46c109e9e6ba982cf9cdbf,2025-11-03T13:35:36.292411
CB250201015,"March 17, 2022",Catholic Charities of Shiawassee and Genesee Co,Special Investigation Report #2022C0420007,True,4dbb11421293616a11dd558d4db31d96d8f78dd250f733dc26649c41fa57187f,2025-11-03T13:35:37.090932
CB250201015,"11/28, 11/29, 11/30, 12/1, 12/4, 12/5 & 12/7/2023",Catholic Charities of Shiawassee and,Inspection Report,False,352463d7d87d549af30ab7b998466ae759acd279f1d601b8c9ded1a993e37213,2025-11-03T13:35:37.658062
CB250201015,"9/10/24, 9/11/24, 9/13/24 9/17/24",Catholic Charities of Shiawassee and G,Renewal Inspection Report,False,bb3ec3c71ae3ce5dc376a6979929520c4d63f15302d4da6bb0cf93ef305320fe,2025-11-03T13:35:38.255684
CB250201108,2/14/2023,Ennis Center For Children- Flint,Renewal Inspection Report,False,ac996271ad8bb4705e16b75f9486de2c45b608837519e37db870f1385eb343bf,2025-11-03T13:35:38.625874
CB250201108,"April 25, 2023",ENNIS CENTER FOR CHILDREN - FLINT,Special Investigation Report #2023C0000357,True,a42bf31370cc8897c826cc4e6f327990021986ae754460ff50ccdf55cc3644d6,2025-11-03T13:35:39.117965
CB250201108,"04/7/2022, 04/12/2022, 04/13/2022, 04/15/2022,",Ennis Center for Children Inc,Inspection Report,False,f3b768bd6007344a8b23339e7efa47ff73a0cadb6ec3f4fc7614d78eef18340b,2025-11-03T13:35:39.556625
CB250201108,"December 9, 2020",Ennis Center for Children Inc,Special Investigation Report #2021C0420002,True,d418f6ac68710a4cedcd959f6c8830c99b473e75739d24990211ceeae1ba6825,2025-11-03T13:35:40.570575
CB250201108,"September 18, 2012",Ennis Center for Children Inc,Licensing Study,False,6becf68ce3bcd2cf564e95a0ad4b9309408e4b3bc3b24904abb6f335cbfd85cc,2025-11-03T13:35:40.663893
CB250201108,"01/19/2021, 01/20/2021, 01/21/2021, 01/22/2021, 01/25/2021,",Ennis Center for Children Inc,Renewal Inspection Report,False,15cf58173840ec84c7cb73c23d0d2db4a429ce831b2d88333b8bee100ca933d9,2025-11-03T13:35:41.635184
CB250201108,"October 7, 2020",Ennis Center for Children Inc,Licensing Study,False,18055ba216779193841896c98f2e9d3a87f74bb3bb6af60b1f8530374782e986,2025-11-03T13:35:41.727657
CB250201108,"August 4, 2023",Ennis Center for Children - Flint,Special Investigation Report,True,4a67aae1584445beb41a2eb761543aa09035365ab93ac0fc82f8abec99560b8e,2025-11-03T13:35:42.109212
CB250201108,"1/29/24, 1/30/24, 1/31/24, 2/5/24, and 2/6/24.",Ennis Center For Children - Flint,Inspection Report,False,89266a3441adc6f9f50f69d06c13d6ef7055a7670270c43798bd21cbf4911e03,2025-11-03T13:35:42.644875
CB250201108,"April 15, 2024",ENNIS CENTER FOR CHILDREN - FLINT,Special Investigation Report #2024SIC0001342,True,da794abb0c117576cc0a49c65a9606106a6ecbac25f096b82d5f5fb720078405,2025-11-03T13:35:43.041879
CB250201108,"1/14/25, 1/21/25, 1/22/25 1/27/2/5, 2/7/25,",ENNIS CENTER FOR CHILDREN - FLINT,Renewal Inspection Report,False,221fd82075501b150ac3983b4a10aac0b3b9524351a7cba47e5650156b91b5d9,2025-11-03T13:35:43.955898
CB250201108,"February 28, 2025",ENNIS CENTER FOR CHILDREN - FLINT,Special Investigation Report #2025SIC0000419,True,bdabcb60b66f8cdbc6e2affd2dc2f34782aadf449c3c456ac34e49b026a142cb,2025-11-03T13:35:44.933873
CB250201474,12/16/2019,Genesee County Youth Corp Inc,Inspection Report,False,cd045e4b4bba8d74b1edbfbfefd9961e267b98d465467795edb148d25fd4cff9,2025-11-03T13:35:45.385236
CB250201474,12/21/ - 12/22/2021,Genesee County Youth Corp Inc,Inspection Report,False,c38684a646655c457a6b9f08a968c2d26c2273be1a40e84cd7eab159f4d07dde,2025-11-03T13:35:45.610802
CB250201474,09/26/2018,Genesee County Youth Corp Inc,Renewal Inspection Report,False,baf4742c7f293a46ca23e28d1ef15f588c0fedc767cc72e3302e44d4668d054e,2025-11-03T13:35:45.918171
CB250201474,10/27/2023,Traverse Place,Inspection Report,False,a775df79a05950031b21c3fcb826464de1c92dd5e433992a57edd7bdf3b7ee35,2025-11-03T13:35:46.460768
CB250201474,9/6/2024,TRAVERSE PLACE,Renewal Inspection Report,False,3288e9b559c2499e6ff335ad0666a5d3aa9451c6bc3ed1c926d95b87e1a99990,2025-11-03T13:35:46.831323
CB250201474,9/2/2025,TRAVERSE PLACE,Inspection Report,False,081337c952c2e3d3c11f6229adc5abb81649acfeb139c58a5e1e87eacbd0b157,2025-11-03T13:35:47.168552
CB250296641,"September 7, 2022",Samaritas,Special Investigation Report #2022C0420023,True,311499d791f54a57d450d8c4ea2b8d92ecacb12e1949d1112b29357404b4d7db,2025-11-03T13:35:51.252460
CB250296641,11/04/2022,Samaritas - Bay,Inspection Report,False,73d3e7ae4b428517650fdb90160768703c2a1255932f7c991f56c566f05a5453,2025-11-03T13:35:52.042925
CB250296641,"March 20, 2023",SAMARITAS - BAY,Special Investigation Report #2023C0420002,True,2eeb2762c9c78472c5c85e4f2dafc0a99b5e4f38c4c20ac1606d9ae241f08d62,2025-11-03T13:35:53.786232
CB250296641,"April 6, 2023",SAMARITAS - BAY,Special Investigation Report,True,05313e24de5c597bb90fd604321456ef5fd36cf815e9b18d55ba09cc244535ad,2025-11-03T13:35:55.918164
CB250296641,"March 10, 2021",Samaritas,Special Investigation Report #2021C0420015,True,a13c8f7f0ca71d3ec3a1cd0d9ceb67d5e4793207370f45ddf5c62562d8caab85,2025-11-03T13:35:56.873715
CB250296641,"March 19, 2009",Lutheran Social Services,Licensing Study,False,1346407b8f7ceb53cd921e03f3a04426f9298eec21799cad66c879e046bda374,2025-11-03T13:35:56.992140
CB250296641,"7/24/2019, 7/25/2019, 7/31/2019, 8/01/2019, 8/05/2019,",Samaritas,Renewal Inspection Report,False,1cffce4806d08032dd3bc5c937aa1e4f7b6793297b9b727da68c8212af96ef05,2025-11-03T13:35:58.190029
CB250296641,"10/08/2018,10/09/2018,10/11/2018,10/12/2018, & 10/15/2018",Samaritas,Inspection Report,False,19c71f2dad621a09360c11f6c8c06a6deefac5eb1ef6612df2992e955150be3a,2025-11-03T13:35:59.327346
CB250296641,"8/25-8/27, 8/30-9/2, 9/7-9/10, 9/13-",Samaritas,Renewal Inspection Report,False,0f956fa66098d2460997795ee473415f31c9325109edf7b8bf9f921f3dfb046a,2025-11-03T13:35:59.735255
CB250296641,"8/30, 9/5, 9/6, 9/7,9/8, 9/11 & 9/13/2023",Samaritas - Bay,Renewal Inspection Report,False,5d67a6da8ac4a4f3c7504e129de261c4d508c2c956cea456134830d1d7ab62d8,2025-11-03T13:37:58.985966
CB250296641,"October 17, 2023",SAMARITAS - BAY,Special Investigation Report,True,355b7dc6a5885c6618f73c1dd74bb004e9b50525accb06d5b1bf5b5b23063125,2025-11-03T13:37:59.226695
,,,,False,e7eba7edb70360ee43aad4b36c946e56f4f54d9b957acd286da5432b23ebccf3,2025-11-03T13:38:08.477222
CB250296641,"March 14, 2024",SAMARITAS - BAY,Special Investigation Report #2024SIC0001246,True,f4a1da5157b48475ff40139857d383ee9a4d312caea8fcebe346a1763639ce96,2025-11-03T13:38:08.704572
CB250296641,"May 3, 2024",SAMARITAS - BAY,Special Investigation Report #2024SIC0001400,True,b7b5fb732973355311847ac09a24e7d557ebd5a277d0454412097243d13f6376,2025-11-03T13:38:09.415678
CB250296641,"May 6, 2024",SAMARITAS - BAY,Special Investigation Report #2024SIC0001403,True,7c14d87e7493f1827a780baeef65c8e4bd66846827c6c5cd38792390673556f7,2025-11-03T13:38:10.017583
CB250296641,"8/27/24, 9/16/24,10/2/24, 10/4/24,",Samaritas - Bay,Inspection Report,False,71bfca730affeebcbc1890606c37533da689621416ad45b87bba7716a78bc376,2025-11-03T13:38:10.499322
CB250296641,"January 6, 2025",Samaritas - Bay,Special Investigation Report #2025SIC0000265,True,93b25d858590261e22a25a2764e89a2d999078dc17bd3d49d91e0e8773468d56,2025-11-03T13:38:12.507963
CB250296641,"February 24, 2025",SAMARITAS - BAY,Special Investigation Report #2025SIC0000395,True,7a68c5a4a27dad50e883fd9b8fee46473179e3bb3ccf0dc5ee6d82ab9c275656,2025-11-03T13:38:12.972722
SI,"July 15, 2025",SAMARITAS - BAY,Special Investigation Report #2025SIC0000855,True,c43a5e47a16677f94ce1a128580b1e7fd78547d9d83140caeca2ce8ba5f42582,2025-11-03T13:38:14.495754
CB250296641,08/13/2025,SAMARITAS - BAY,Special Investigation Report #2025SIC0000936,True,733abdc81d7ee6f07fed6d22c2035b82ec627929569e060f40c66ff7f2424ee0,2025-11-03T13:38:16.052079
CB250410563,11/17/23 & 11/20/23,Whaley Children’s Center,Inspection Report,False,4d73a83d0cf2e92d2699f39de9f3fb8dbe8bc5c2ad836f5bc53b0d85849568a4,2025-11-03T13:38:16.479943
CB250410563,10/16/2024 & 10/17/2024,Whaley Children's Center- Journey House,Renewal Inspection Report,False,905e71e6de3ec8a3fc90144e0ad494b5eb65087c3fff83b6ee16eefc726f71a4,2025-11-03T13:38:16.826545
CB280200990,"January 9, 2023",Holy Cross Children’s Services,Renewal Inspection Report,False,abbf3b40a84db2b8935e1da5ffdfcaef25a29e17e055193595ac43aaf2a55c55,2025-11-03T13:38:17.849978
CB280200990,"January 24, 2022",Holy Cross Children's Services,Inspection Report,False,fc1b7065f53b4ca36c294faa00a0aaad432425017d29d6ff762eb58e316e7cfc,2025-11-03T13:38:18.390328
CB280200990,"November 20, 2007",Holy Cross Children's Services,Licensing Study,False,83706121611a947b20439e276607a337c3be0b912dd8128df8a18f3eea991e80,2025-11-03T13:38:18.495939
CB280200990,"March 7, 2019",Holy Cross Children's Services,Licensing Study,False,1adb4c871a8e24f7d59ad12a2258fd77c2b8c802703a96f1867d2ae7af5d2b64,2025-11-03T13:38:18.630206
CB280200990,"September 11, 2020",Holy Cross Children's Services,Special Investigation Report #2020C0103033,True,40576458b856dd7d2a8a06a364d5c6ce96587b90e31f42446877bf3488bdf42a,2025-11-03T13:38:19.561104
CB280200990,"February 18-26, 2020",Holy Cross Children's Services,Inspection Report,False,e4f563174163c89e83a250e18318e933082aef7865ae5e147373298b85fcb771,2025-11-03T13:38:20.100187
CB280200990,"March 18, 2021",Holy Cross Children's Services,Special Investigation Report #2021C0103010,True,8bf330f962438248c57b9e7f855cb604f07a0afe1eec225984d024c71a50c537,2025-11-03T13:38:21.314401
CB280200990,Total No. Of Records No. of Records,Holy Cross Children's Services,Renewal Inspection Report,False,0f71040e1c33b0d11348e83368bd94404ada6f2ff2155cf70cc0ad0de342b296,2025-11-03T13:38:21.815880
CB280200990,"June 23, 2023",Holy Cross Services - Northern Michigan CB,Special Investigation Report,True,9e963555e3817566a47506ad5388aaf84377021bba994edb47ab5d3b1f2f27be,2025-11-03T13:38:22.304649
CB280200990,"August 18, 2023",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2023C0000635,True,e54f294c78f33e1af81fec0e7bff33df70c332c0117e0179ec62b6d0791937d3,2025-11-03T13:38:23.430721
CB280200990,"February 12, 2024",Holy Cross Services - Northern Michigan CB,Special Investigation Report,True,a765c27dff10179a7ca31803cb4820ae71100111629071f4c1e2cbc2c6b384f3,2025-11-03T13:38:23.729016
CB280200990,1/22/2024,Holy Cross Services - Northern Michigan CB,Inspection Report,False,1ed28e00f5829e43c344d8b54c034ed5ebfd628882b46ce4b42251d8c3def61d,2025-11-03T13:38:24.752151
CB280200990,"March 27, 2024",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2024SIC0001277,True,8233be1a9809bc09f8a234148603d3694758ef80899a90dec2121e8e9553d906,2025-11-03T13:38:25.529564
CB280200990,"June 4, 2024",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2024SIC0001487,True,9bc644343f30457d75f2bcbca12104b7a726dd8490bc1fb859b59050ce8b9a44,2025-11-03T13:38:26.492028
CB280200990,"December 9, 2024",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000182,True,af00c6755c5c4cb108d350d6407f63d57da9f9df90aa06229c1ef4a9ae6c01f3,2025-11-03T13:38:26.913412
CB280200990,"January 6, 2025",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000269,True,0061f513cd124d0e1510e79416aabe4b5c128b4dc99d10b7a38ee25fa4e1de37,2025-11-03T13:38:27.257678
CB280200990,12/16/2024,Holy Cross Services - Northern Michigan CB,Renewal Inspection Report,False,4dc3a609548b6cfc84a5e3ea902ac1cb86ccf7064efd83ec382f2f6791e550b2,2025-11-03T13:38:28.441974
CB280200990,"October 15, 2024",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000036,True,5ec5c2c49117fa294133dd646dc4389b6398d1746322931de6ff27f66b31d7f0,2025-11-03T13:38:29.382224
CB280200990,"December 16, 2024",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000206,True,20ab4f5eb84c162f1587ed5bd3ed56b608d4de3803d4350fcd7ec126185d1f43,2025-11-03T13:38:30.359873
CB280200990,"January 30, 2025",Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000344,True,d2a10dbe8217f24c34e6f4268a5245522ed4bff0999ce1e200a41d27cd1b46b8,2025-11-03T13:38:30.869577
