sha256,response,violation,input_tokens,output_tokens,duration_ms
0146c2410abd176761771d7c3b766531afc6110f17a34693aebebb1e30438d0b,"The investigation found that Catholic Charities of Southeast Michigan failed to submit adoption records to the state department within the required one-year timeframe after finalization, specifically identifying two children whose records were submitted over a year late and acknowledging a backlog of hundreds of unsubmitted records dating back years. The agency cited confusion over submission procedures and content requirements, but had not maintained compliance with the clear rule. The agency is directly culpable for the systemic failure to ensure timely submission of these permanent records as required by licensing rules.",y,2911,121,3299
0166fa6dc3f1f6f4c99f0e97227cccb1ac6e2dd0b116ea75faa65acf0851d6f7,"The investigation addressed allegations of inadequate clothing and denied medical care at a youth facility. Investigators found the facility had sufficient clothing and proper procedures for both clothing requests and medical access, though documentation and policy clarity needed improvement. Youth A's clothing issue stemmed from a preference for a smaller size than recommended, and her medical care was delayed because she did not follow the correct request procedure, not due to staff refusal. Overall, no policy violations were substantiated, and culpability for the alleged failures was not found on the part of the facility.",n,2910,120,2147
0173b638c939a8483e9bafaa788ca2389923ff83d8df13b138773a70bd473429,"A staff member at Lincoln Center gave a youth a book containing a marijuana edible, which the youth and another youth consumed, leading to hospitalization. Two other staff members were aware of the exchange but failed to report it, violating professional boundaries and supervision policies. The facility's administration is ultimately culpable for systemic failures in staff supervision and enforcement of policies that allowed this incident to occur.",y,2823,87,3151
017b705145b5b31eadc02273ca4b60479526af4f1bc64c85baee3533a75cc786,"The report details an investigation into multiple allegations at the Wayne County Juvenile Detention Facility, including staff failing to intervene in and laughing at youth fights, a youth being threatened with restraint, and general staff disrespect. The investigation, which included interviews and video review, found that staff responded appropriately to altercations, did not laugh or encourage fights, and did not make threats. The allegations were not substantiated by the evidence. The investigation concluded the facility was in compliance with all rules, assigning no culpability to the staff for the reported incidents.",n,4671,128,4358
0193d029cf683f3132f497aa44e919c11c5abac873aac71fc0dc758328531f5d,"A special investigation was conducted following a reported restraint of a youth at Highfields, Inc. The central allegation that staff performed a restraint due solely to property destruction was not substantiated, as the investigator concluded the restraint was initiated to prevent imminent harm. However, the investigation revealed significant additional violations: staff escalated the situation through agitated behavior, conducted the restraint in an unsafe location, and used a prohibited prone restraint technique with a staff member lying on top of the youth. Overall, the facility and its staff are culpable for unsafe restraint practices and failure to follow approved procedures.",y,3723,124,7244
01a86562abb2868595f3967f48edecf9cf67396862c7bdc0c2259a4e39367cb4,"The report details an investigation into multiple allegations at Wolverine Center, a child caring institution. Several allegations, including inadequate heating, lack of cleaning supplies, verbal abuse, and delayed medical care, were not substantiated. However, the investigation did substantiate three violations: a staff member used a prohibited martial arts chokehold on a youth, the facility operated out of its required staff-to-youth ratio for a period, and staff failed to write incident reports as required by internal policy. The culpability lies primarily with the facility's staff and supervision, as evidenced by the use of prohibited physical intervention and failures in procedural compliance.",y,8090,135,7676
01bc5c4ed0bd8e948889c39ba7a21973fd30e130e7c0b4ab192947a2b251acfc,"A youth at Clarence Fischer Center attempted to walk off-site, leading to a physical altercation with staff. During multiple attempts to restrain the youth, Staff 2 forcefully picked him up and slammed him to the ground, causing the youth pain and requiring a hospital evaluation. The facility was found in noncompliance with rules prohibiting physical punishment, and this was a repeat violation. The investigation substantiates that Staff 2 bears direct culpability for using prohibited, excessive force.",y,4824,104,5627
01bec58fa482adf1a1f12a325ccf9b850e980fbe0ebd27da957eedb7f271b91a,"An investigation was conducted into allegations that a supervisor at a youth facility struck two residents, caused injuries, and used threats and blind spots to avoid detection. The investigation included interviews with multiple youths, staff, and administrators, as well as reviews of video footage and incident reports. The investigation found that the accused supervisor was not working at the times of the alleged incidents, no other witnesses corroborated the claims, and the documented injuries were attributed to other causes like fights between youth. Based on the evidence, the allegations were not substantiated, and the facility was found in compliance; therefore, the accused supervisor is not deemed culpable based on this report's findings.",n,5716,142,6485
01c84e428b5a3beb5f57e925151bbae96755eecedd39d9ecea59bf81abf09be1,"The investigation found that while the specific allegations of staff pushing a youth and making verbally abusive comments were not substantiated by video evidence or witness accounts, a violation was established because a staff member improperly restrained a youth by using a single-person hold not permitted under the facility's approved Crisis Prevention Institute (CPI) physical management model. The facility was found non-compliant with restraint policies and is required to submit a corrective action plan. The report concludes that the facility, not an individual staff member, is culpable for the policy violation related to improper restraint technique.",y,4257,123,3139
01f8dec51b4a8320bb011ee6ec1713866944aae49b2808e0eefb59a52fc915bf,"On October 16, 2022, at the Mott Children's Residence, two youth engaged in sexual intercourse after one propped open his door and the other stuffed her bed to appear present, with staff discovering them only after a tip from another youth. The investigation substantiated multiple violations, including failure to conduct required visual bed checks every 15 minutes, failure to follow bedtime supervision policies, and concerns about a staff member's qualifications. Culpability lies with the facility for systemic supervision failures, as evidenced by repeated lapses in monitoring and a prior similar violation.",y,4962,125,5660
02043f9d3d70a196521621518704871cc3c19c42f20f2df8238d0cec84b01cdf,"A special investigation was conducted following an allegation that a youth, referred to as Youth A, was sexually abused by a peer at the Methodist Children's Home several years prior. The investigation found insufficient evidence to substantiate the claims, as the youth declined to provide specific details or names, current staff had no recollection of such incidents, and a review of records from the time period showed no reports of Youth A as a victim. Given the lack of corroborating evidence and the explicit conclusion of the state investigator, no policy or code violations were established against the facility.",n,1654,123,7462
022d298e7e95f8f2aa063c8b20c65acedb98f96303771e8b52e97bab169a313a,"The investigation involved allegations that a youth (Youth B) sexually harassed and assaulted other residents at the Wayne County Juvenile Detention Center. While the primary allegation of insufficient staff to protect residents was not substantiated, as staff were found to be actively redirecting and supervising Youth B (including using a 1:1 ratio), a procedural violation was substantiated. The facility failed to properly resolve grievances, issuing letters stating grievances were 'resolved' merely because they were forwarded to a sheriff's unit for investigation, without addressing the immediate safety concerns or final outcome. The facility is culpable for this administrative failure in its grievance process.",y,3561,137,6982
02337350f46dbc82ed172939f9684c9c698ec624ad4ea21f436459cb629c3c22,"A youth at Osceola Youth Center engaged in multiple self-harm incidents and made suicidal statements. The facility's staff and clinical director responded each time by assessing the youth, providing medical care, placing her on heightened observation, and, when necessary, sending her to the hospital for evaluation. The report concludes the agency followed its internal policies and procedures appropriately in response to the youth's needs. The investigation found no violation, and no culpability is assigned to the facility as their actions were deemed compliant.",n,4098,111,5930
025766ab9f979488ee552a09798b60f6c40e37738a8537477d31007d9177a88c,"An altercation occurred at the Wolverine Center where Youth A was assaulted by Youth B and Youth C, leading Youth A to defend himself with a broomstick. Staff intervened but video evidence showed improper restraint by Staff 2 on Youth C and Staff 4 shoving Youth B. The facility was found in compliance regarding sufficiency of staff but violated intervention standards and restraint policies, with multiple repeat violations. Culpability lies with the facility for failing to enforce proper restraint procedures despite prior corrective actions.",y,5142,115,8137
0265d63a41522919d872b215741f9611caed4b8221f65e3b5b6f6bcfc1e315ee,"A youth at Eagle Village Gerber-Putnam facility started a fire in an empty bedroom on December 31, 2023, using a lighter brought back from a home visit, while other youth were present and staff were supervising. The investigation concluded that staff followed procedures, conducted proper searches, maintained appropriate supervision, and responded appropriately to the emergency. The report determined that staff were not aware of the youth's plan to start the fire and did not violate supervision policies. Ultimately, the facility was found in compliance with all applicable licensing rules, with the primary culpability falling on the youth who intentionally started the fire.",n,3482,143,8037
0267ec42e51d91adc53c433ac0a2a162dc6f164aaac6a33eb8d4dd12b6fe8373,"A special investigation was initiated after a youth was reported to have bruises from a restraint. The investigation found that staff used a brief physical restraint on a youth who was harming himself during a behavioral escalation after an event. Video evidence, interviews, and documentation confirmed the restraint was a last-resort response to prevent self-injury, aligning with emergency protocols, and the youth's bruise was attributed to a separate fight with another youth. The facility was found in compliance with rules, and no policy violations were substantiated, effectively clearing the staff and facility of culpability for the alleged improper restraint.",n,2680,128,5638
02c6a5e4ae3b75814ec5cccbc492a69cd022ff8698768f8b7c54d6292282b831,"An anonymous complaint alleged that a youth at the Calumet Center could pop his bedroom lock and exit, creating safety concerns. The state investigation involved multiple interviews and document reviews, finding no evidence to support the lock-popping claim, though it confirmed the youth had recent aggressive incidents resulting in property damage. Based on witness statements, facility policies, and a recent locksmith inspection showing minor maintenance, the investigator concluded the violation was not established, effectively clearing the facility of the specific allegation.",n,2215,108,2762
02d6ca5dcec90c742d07d4d770077c35e11fdac9ae139c5d56c7e20ec9e17ece,"Wellspring Lutheran Services opened a satellite office in Norton Shores for staff work and parent visitations without obtaining prior written approval from the Department of Child Welfare Licensing, violating state rules. The agency claimed confusion over what constituted a satellite office and intended to notify the department once setup was complete. Culpability lies with the agency for failing to understand and comply with clear regulatory requirements for notification and approval.",y,1242,91,2158
02fcbcbf2112d5596f5966669b159171b9479c5a9a678835eca0c073bb8b87eb,"A Michigan child placing agency failed to notify a biological parent of her child's urgent medical visit and a scheduled dental appointment, violating rules requiring parental involvement in healthcare decisions. The failures stemmed from outdated contact information in the state database and a lack of timely communication from both the foster parent and the agency's caseworker. The investigation concluded the agency is ultimately responsible for ensuring proper notification, establishing a clear violation of policy.",y,3076,94,4600
030a5e161e487ad277a5a84af86183d148ed43747126ef2636b76f795f211eff,"A special investigation was conducted after allegations that a staff member (Staff 1) told a youth to 'get the fuck away from me.' The investigation, which included interviews with multiple staff and youth, found that no one could substantiate the claim of swearing, and the youth who made the allegation later revised their account. The agency's policies clearly prohibit such verbal abuse, but the investigators concluded the violation was not established. While the specific allegation was not proven, the report highlights a pattern of concerning interactions and prior incidents involving staff conduct at the facility.",n,2591,123,20256
03dcc08551d95123efcb7130e84dcca3baf4cffdd2bace0000306b56e232f170,"A special investigation was conducted based on allegations of bugs and a broken refrigerator at Holy Cross Children's Services – Mid-Michigan. The investigation found the freezer had been promptly repaired, pest control was regularly serviced, and the facility was maintained appropriately, with no violations established. The investigation concluded the facility was in full compliance with licensing requirements, and the allegations were not substantiated.",n,1520,92,4232
03f359b645bf456c4c91482bc62b1681ae547d49880600a84aebfa54feff384c,"A special investigation was conducted into allegations that a staff member (Staff 2) at a childcare facility took a youth (Youth A) to the staff member's residence for drinking and drug use, and facilitated shoplifting. The investigation, which included interviews with staff and a complainant, found the allegations to be unfounded, as the accused staff member denied them, no corroborating evidence was found, and the youth making the claim refused to be interviewed and later recanted. The report concludes no policy violations were established, assigning no culpability to the staff member or the facility.",n,1989,127,6752
03f84c22513c494f2a1ee498ff4e7b33756985587fffeb892d2c49b42b1dcf6f,"An investigation into allegations of physical abuse and verbal abuse at Eagle Village, a child caring institution, found the claims to be unsubstantiated. The report examined claims that a youth was dragged by staff and that staff used racial slurs and derogatory language, but witness accounts were contradictory, video evidence was unavailable or did not support the claims, and the facility's documented policies were deemed adequate. Ultimately, the state investigator concluded the facility was in compliance with all rules, placing responsibility for the unproven allegations on inconsistent and uncorroborated reporting rather than on the facility or its staff.",n,3662,129,7729
0453d1af31428435e3c7626952a4fa5ae530136d03d91680cbc9457a8c024698,"On August 7, 2025, a youth (Youth A) reported being sexually assaulted in her bedroom at The Bridge for Runaways by another youth (Youth B) during the early morning waking hours. The investigation substantiated that Staff 1, who was the sole staff on duty, failed to perform required 15-minute variable interval room checks, did not properly supervise the bathroom hallway as per policy, and left the facility out of ratio (1:9 instead of the required 1:4) by dismissing overnight staff early. While the assault is a criminal matter between residents, the facility and Staff 1 are culpable for the critical supervisory failures that created the unsafe environment in which the assault occurred.",y,3821,155,5675
045ed578fce5f1ed7cb6af6aefec9a4e6ae6caded897380f6d0fb39b9bd8aa4b,"The report details a special investigation at Cedar Creek Teaching Family Home, substantiating that a staff member left two youth unsupervised for several minutes, during which they engaged in physical sexual contact. It also found failures in supervising a youth's use of technology, contrary to specific policies and safety plans for that youth. The facility and the staff member, who received verbal reprimand, share culpability for the supervision failures.",y,6770,94,5018
048e46b82e5249f2e60e45e7d1dc62454988cf1963ae6644af50169a705540c6,"The investigation found Holy Cross Services violated staffing and policy rules after three staff abruptly quit. A remaining worker was assigned up to 22 foster care cases, exceeding the 15-case limit, and a former worker improperly shared confidential foster home information with a competing agency. While the crisis was triggered by staff resignations, the agency is culpable for inadequate succession planning and failing to prevent the unauthorized data disclosure.",y,3173,91,5248
04a61e2fc068f4731192c674a370c1feda4feb43f0fa8267f496a1329e190536,"The report investigated two allegations against Hands Across the Water: that a foster care worker left youth unsupervised in a cold vehicle, and that the agency refused to involve parents in treatment plans. The investigation found no evidence to support the vehicle allegation, as interviews and documentation confirmed a caregiver was present during all transports. Regarding parent involvement, documentation showed the biological mother was offered the treatment plan but refused to sign it, though she did attend meetings and parenting time. The investigation concluded no violations were established for either allegation, effectively clearing the agency of culpability.",n,2680,119,11849
05313e24de5c597bb90fd604321456ef5fd36cf815e9b18d55ba09cc244535ad,"A staff member (Staff 3) at a Samaritas independent living home in Flint assisted a 17-year-old youth (Youth A) to run away by driving her to a bus station, helped her evade surveillance cameras, and later attempted to bribe another youth to keep quiet. The investigation also substantiated that Staff 3 repeatedly purchased cigarettes, vape pens, alcohol, and marijuana for multiple youths in the home. The agency itself was found non-compliant for failing to follow its own supervision policies, including staff not conducting required room checks and not reporting when youths were taken off-site. The evidence clearly shows Staff 3 was primarily culpable for the direct harm and violations, while agency management shares blame for inadequate oversight and procedural failures.",y,11337,161,8775
0548e0ed2193286be90b4c616d727b3ec295a14d4cd867d0352e00d782f187a8,"The investigation concerned allegations that a youth with significant medical needs was not fed according to his prescribed diet and was transported to school in soiled briefs. While the malnutrition allegation was not substantiated, investigators established a violation for personal hygiene because a staff member admitted to failing to check or change the youth's briefs before transport, breaching the facility's care plan. The facility's administration bears culpability for this lapse in supervised care, as it indicates a failure in staff training or protocol adherence for a youth requiring 1:1 supervision.",y,2733,120,4844
055f59c6b2c04de7f7a5ebaa465ffc29cfc3e09f05cc9ae5b1c348ef478dc40d,"A Special Investigation was initiated following an allegation that a youth was sexually assaulted by two other youths in his room at the Lincoln Center facility. The investigation, involving interviews with staff, multiple youths, and the alleged victim, found that while an altercation involving horseplay and an attempt to pull down the youth's shorts did occur, staff intervened within seconds and the evidence was insufficient to substantiate the claims of sexual assault or a lack of supervision. Given the immediate staff intervention and the investigative conclusion, primary culpability for a serious assault was not established, though the incident highlights ongoing behavioral risks within the facility.",n,2432,132,4940
056885a5f036de3772c5a66daba38ead7d8af5e4d8d6c784d1dbebd82c2cb08c,"A special investigation was conducted into Child Safe Michigan Judson CS following allegations from a birth mother. The investigation covered three areas: failure to establish visitation and explore relative placements, failure to report suspected maltreatment, and failure to perform a trauma assessment while delaying relative placement. The investigation found that the agency had initiated visitation, was actively assessing a relative placement (children were placed with a godmother/fictive kin), and had no basis to report suspected maltreatment after a medical examination concluded a diaper rash was present, not abuse. The agency appropriately responded to the birth mother's concerns by taking the child for a medical exam and moving the children to a respite home due to safety concerns stemming from the birth mother's behavior and discovered AirTags, not due to suspected foster parent maltreatment. The evidence did not support any of the allegations, and no violations were established. The agency acted properly and was not found culpable for any wrongdoing.",n,6850,198,8766
0598508ca51ec76947c612419a9c5dd4014ba91d54f315652480f6c60e3ec862,"A youth at Safehaus Too expressed suicidal thoughts to a nurse prior to discharge, but clinical documentation from the day before indicated he was at baseline with denied suicidal ideation. Upon discharge to his mother, the youth refused to go, the mother left, and the youth threatened suicide to a CPS screener; the facility's Clinical Director, via phone, convinced the mother to return and verbally advised her to take him to the ER if he made suicidal threats, which she eventually did after a delay, leading to his psychiatric hospitalization. While the report concludes no licensing violation was established, the facility's discharge process and communication with the guardian failed to ensure immediate safety for a youth expressing acute risk.",n,1989,149,8642
05a298bbfe4158f3c91cdc065e2fb6bf0104ade263b0f80e17fd528f06421044,"A staff member at the Calumet Center juvenile facility struck a youth in the back of the head during a physical altercation on September 15, 2024. The incident began when the agitated youth ran inside, threatened the staff member, and swung at him, with reports indicating the youth struck the staff member first; the staff member admitted he overreacted and should have walked away. The investigation, which included interviews and video review, substantiated that the staff member hit the youth, constituting a violation of rules prohibiting physical punishment. Culpability lies primarily with Staff 1 for his retaliatory action, though the facility also bears responsibility as this was a repeat violation, indicating a failure to ensure compliance with behavior intervention policies.",y,2825,158,8354
05a510399afff34ae4d909311e39e8313ab1fcdc60dd7f273b785f1ff7560687,"A youth tested positive for marijuana upon arriving at a new placement after being discharged from Osceola Youth Center. An investigation, including interviews with the youth, other residents, staff, and leadership, found no evidence that the youth obtained or used marijuana while at the facility, concluding the positive test likely stemmed from her admitted daily use prior to placement. No substantiated culpability lies with the facility, as the investigation did not support the allegation that staff or youth provided marijuana or that use occurred on-site.",n,1574,113,6001
0606466adcad96b39e6e4e1f8d53bd0226f0c896cfdbf0dcd424f4171ac5f878,"Foster parents alleged that the agency failed to fully disclose a foster child's history and diagnoses prior to placement, specifically raising concerns about undisclosed prenatal substance exposure. The agency conducted an investigation involving multiple interviews and a review of documentation, which showed that meetings, emails, and visits had occurred, and that a specific diagnosis had been ruled out. The investigator concluded the agency was in compliance and provided all relevant information. Ultimately, the report found the agency not at fault, determining no violation of the rules occurred.",n,5689,113,9757
0625703ed81e420185a78baa710ddf9d0d36aa6dce8deb269cb92270d0c2397e,"A special investigation was conducted following allegations by a foster parent that Livingston County DHHS falsified court reports, withheld necessary medical care for a youth, and excluded the foster parent from service planning. The investigation found that DHHS was not managing the case during the period in question, as it was under a private agency's supervision, and thus did not write the contested court reports or service plans. Regarding medical care, DHHS appealed a referee's medication order due to policy requiring birth parent consent, which a judge later upheld, but the subsequent delay in treatment was primarily attributed to hospital discharge protocols and legal processes. Ultimately, no violations of licensing rules were substantiated against the agency.",n,7144,147,8103
063bb0491a1951c5d023cd381728f0942fcfc971c120529c4f6f29fd86dcb805,"An investigation was conducted into complaints against Family & Children Services Inc. regarding services to a parent, notification of court hearings, reasons for moving children, and makeup visits. Three allegations were unsubstantiated, but the agency was found to have violated policy by failing to ensure required makeup visits occurred after cancellations by the agency or foster family. Ultimately, while most claims were not supported, the agency's failure to provide required makeup visits and its internal policy that conflicted with state requirements establish clear responsibility for this violation.",y,6026,114,8542
06618c6d99c4a92dd8bfac16708b09539128e2fe219791fbbd198d943d303973,"A 2022 investigation at Safehaus Too, a child therapeutic group home, substantiated that on June 13th, two youth engaged in sexual activity in a bathroom while under staff supervision. The facility failed to provide continuous, adequate supervision, with staff performing room checks at fixed intervals instead of variable ones as required. The facility is culpable for inadequate supervision protocols and staff performance, leading to the incident and subsequent youth discharges, while a secondary allegation of improper medication dispensing was not substantiated.",y,3290,111,5913
067d2dd622628dc2a1a6a9b305396d28b1654cd3fc58fe926c6fa692c513b870,"A state investigation of the Samaritas Shelter in Grand Rapids substantiated two violations: a staff member falsified bed check times on daily logs, and the facility was out of state-mandated staff-to-youth ratio on multiple occasions, with a team lead directing or allowing these ratio breaches. The report concludes that Staff 2, the team lead, bears significant responsibility for the violations, having instructed staff to falsify documentation and having created or permitted multiple instances of being out of ratio.",y,7140,109,6871
069914961a22a50b8aa25419d5fed73745cd9086253f38c11b784928e13a8043,"An anonymous complaint alleged an unsafe environment at the Clarence Fischer Center, citing youth-on-youth assaults, potential weapon use, and a serious incident where multiple youths left their units unsupervised overnight. A thorough investigation involving interviews, document reviews, and video footage concluded that staff consistently intervened in fights, followed established protocols, and made reasonable efforts to supervise youths, leading to no substantiated violations. The report explicitly states 'No substantial violations were found' and places the facility in compliance with all rules, effectively clearing the facility and its staff of culpability for the alleged incidents.",n,8264,123,9620
069e1cafdba5b1ada8419683fbd5c25828606eb901216c4c08d0ff33a35fd0ea,"A special investigation found that a youth with a documented history of ingesting objects was able to access and swallow a battery from a broken remote control discarded in a garbage can. The facility was found in non-compliance for failing to provide a mandated 1:1 staff ratio for the youth at the time of the incident, and for a repeat violation of not filing an incident report by the end of the shift. While staff attempted redirection, the failure to maintain the required supervision ratio directly contributed to the incident, indicating facility culpability.",y,4316,118,3013
06b1569ef2858226bcdd21d5bba3273dad0507ab35cc51f941665f4c01e27a20,"A staff member took two youths to a public library. Following a conflict over seating, one youth went to the bathroom. The staff member, believing the youth had left the building, did not search the bathroom and, following a supervisor's instruction, departed with the second youth to return her to the facility, leaving the first youth unattended for 10-15 minutes. The staff member later returned with police and retrieved the youth. The investigation concluded the facility violated its own policies regarding line-of-sight supervision, diligent search for missing youths, and accompaniment to public restrooms. Primary culpability lies with Staff 1 for failing to supervise and search properly, but supervisory and policy communication failures also contributed.",y,6255,152,8320
06d739f2e71b954c305b20f8e69a5ad0520f8ffc1c25fcadf83d771e27061b01,"A staff member at a youth residential facility took two youths to a movie theater and left them unsupervised for 10-30 minutes to take a personal emergency phone call, instructing one youth to watch the other. The facility's policies require constant line-of-sight supervision of youth during activities. This is a repeat violation of supervision rules. The staff member is directly culpable for the violation, as they knowingly disregarded established safety protocols.",y,1998,98,2723
072418ba0965ce7ce804fb9e3067a7f23b1e56aa41bf546b23a241637c7622e2,"The investigation found that Jackson County DHHS failed to properly evaluate a foster home incident where a foster parent threw a camera that struck an adopted youth during a dispute, leading to a physical altercation. The agency's special evaluation report documented the facts, including the foster parent admitting to throwing the camera, but incorrectly concluded no licensing rule violation had occurred, despite the evidence warranting a citation. The agency is held culpable for noncompliance due to its failure to recommend appropriate licensing action consistent with the documented facts.",y,3091,113,5745
07414c24d0fece2aede762ec1849654641589c6f9468150f02ccc2670279b67a,"A Special Investigation Report for Homes for Black Children substantiated that an Adoption Worker (AW) failed to report allegations of sexual abuse. The AW was informed by the alleged perpetrator (a foster/adoptive parent) that a youth had accused him of sexual abuse, and she instructed the parent to call in the report himself but did not make the mandatory report to Centralized Intake or notify her supervisor. The investigation concluded the agency violated its policy and state law requiring immediate reporting. The AW bears direct culpability for the violation, having admitted she knew the protocol but failed to follow it due to being off-duty and ill at the time of the call.",y,2451,141,6460
07475fc062c476cc5b0636b52e6bf4a07e0b96fba7456648ada3856516ad27f4,"A special investigation examined allegations against a county child welfare agency regarding a youth's hospital discharge and medication. The first allegation, that a foster care worker threw away the youth's medication, was not substantiated; interviews and case file review showed the worker obtained the necessary prescriptions and the youth did not go without vital medication. The second allegation, that the agency failed to timely pick up the youth from the hospital, was also not substantiated; the investigation found the agency actively searched for a placement for over a week and ultimately secured one on the scheduled discharge date, though it occurred later in the evening. The report's conclusion that no substantial violations were found indicates the agency's actions, while challenging and delayed, did not rise to the level of a licensing rule violation.",n,3148,163,14673
07512464191a03424859773836b75719ed7d8139b9a77f4221408a7e6791be5e,"The investigation found no definitive evidence that a staff member intentionally 'body-slammed' a youth during an altercation, as accounts differed on whether it was an attempted restraint that resulted in a fall. However, multiple witnesses, including other staff, confirmed that the staff member escalated the situation by approaching the youth in an aggressive manner and failing to use proper de-escalation techniques, which violated the facility's required policies and procedures. Therefore, while the facility was found compliant on the physical intervention allegation, it was found non-compliant for failing to follow its own program statement policies regarding care and supervision. The agency is culpable for a violation due to a staff member's inappropriate conduct that contravened established de-escalation protocols, necessitating a corrective action plan.",y,4500,171,7813
075c04e878e3f004be843473ad5c6580e9f5ecebe2e8815ccb9355589684122b,"A youth, Youth A, became upset while trying to make a phone call and struck a staff member, Staff 1, in the head with a plastic bag containing bottles. Staff 1 retaliated by punching Youth A in the face, an act confirmed by witness interviews and video footage. Staff 1 was immediately removed, placed on leave, and later terminated. While the youth initiated physical contact, primary culpability lies with Staff 1 for the unprofessional and prohibited retaliatory strike.",y,3024,110,5658
